Year,EventName,DriverNumber,Abbreviation,TeamName,GridPos,QualiPos,FinishPos,DidFinish,Top3,Top5,Top10,EventDate
2022,Saudi Arabian Grand Prix,1,VER,Red Bull Racing,4.0,4,1.0,1,1,1,1,2022-03-27
2022,Saudi Arabian Grand Prix,16,LEC,Ferrari,2.0,2,2.0,1,1,1,1,2022-03-27
2022,Saudi Arabian Grand Prix,55,SAI,Ferrari,3.0,3,3.0,1,1,1,1,2022-03-27
2022,Saudi Arabian Grand Prix,11,PER,Red Bull Racing,1.0,1,4.0,1,0,1,1,2022-03-27
2022,Saudi Arabian Grand Prix,63,RUS,Mercedes,6.0,6,5.0,1,0,1,1,2022-03-27
2022,Saudi Arabian Grand Prix,31,OCO,Alpine,5.0,5,6.0,1,0,0,1,2022-03-27
2022,Saudi Arabian Grand Prix,4,NOR,McLaren,11.0,11,7.0,1,0,0,1,2022-03-27
2022,Saudi Arabian Grand Prix,10,GAS,AlphaTauri,9.0,9,8.0,1,0,0,1,2022-03-27
2022,Saudi Arabian Grand Prix,20,MAG,Haas F1 Team,10.0,10,9.0,1,0,0,1,2022-03-27
2022,Saudi Arabian Grand Prix,44,HAM,Mercedes,15.0,16,10.0,1,0,0,1,2022-03-27
2022,Saudi Arabian Grand Prix,24,ZHO,Alfa Romeo,12.0,13,11.0,1,0,0,0,2022-03-27
2022,Saudi Arabian Grand Prix,27,HUL,Aston Martin,17.0,18,12.0,1,0,0,0,2022-03-27
2022,Saudi Arabian Grand Prix,18,STR,Aston Martin,13.0,15,13.0,0,0,0,0,2022-03-27
2022,Saudi Arabian Grand Prix,23,ALB,Williams,16.0,17,14.0,0,0,0,0,2022-03-27
2022,Saudi Arabian Grand Prix,77,BOT,Alfa Romeo,8.0,8,15.0,0,0,0,0,2022-03-27
2022,Saudi Arabian Grand Prix,14,ALO,Alpine,7.0,7,16.0,0,0,0,0,2022-03-27
2022,Saudi Arabian Grand Prix,3,RIC,McLaren,14.0,12,17.0,0,0,0,0,2022-03-27
2022,Saudi Arabian Grand Prix,6,LAT,Williams,18.0,19,18.0,0,0,0,0,2022-03-27
2022,Saudi Arabian Grand Prix,22,TSU,AlphaTauri,19.0,20,19.0,0,0,0,0,2022-03-27
2022,Australian Grand Prix,16,LEC,Ferrari,1.0,1,1.0,1,1,1,1,2022-04-10
2022,Australian Grand Prix,11,PER,Red Bull Racing,3.0,3,2.0,1,1,1,1,2022-04-10
2022,Australian Grand Prix,63,RUS,Mercedes,6.0,6,3.0,1,1,1,1,2022-04-10
2022,Australian Grand Prix,44,HAM,Mercedes,5.0,5,4.0,1,0,1,1,2022-04-10
2022,Australian Grand Prix,4,NOR,McLaren,4.0,4,5.0,1,0,1,1,2022-04-10
2022,Australian Grand Prix,3,RIC,McLaren,7.0,7,6.0,1,0,0,1,2022-04-10
2022,Australian Grand Prix,31,OCO,Alpine,8.0,8,7.0,1,0,0,1,2022-04-10
2022,Australian Grand Prix,77,BOT,Alfa Romeo,12.0,12,8.0,1,0,0,1,2022-04-10
2022,Australian Grand Prix,10,GAS,AlphaTauri,11.0,11,9.0,1,0,0,1,2022-04-10
2022,Australian Grand Prix,23,ALB,Williams,20.0,16,10.0,1,0,0,1,2022-04-10
2022,Australian Grand Prix,24,ZHO,Alfa Romeo,14.0,14,11.0,1,0,0,0,2022-04-10
2022,Australian Grand Prix,18,STR,Aston Martin,19.0,20,12.0,1,0,0,0,2022-04-10
2022,Australian Grand Prix,47,MSC,Haas F1 Team,15.0,15,13.0,0,0,0,0,2022-04-10
2022,Australian Grand Prix,20,MAG,Haas F1 Team,16.0,17,14.0,0,0,0,0,2022-04-10
2022,Australian Grand Prix,22,TSU,AlphaTauri,13.0,13,15.0,0,0,0,0,2022-04-10
2022,Australian Grand Prix,6,LAT,Williams,18.0,19,16.0,0,0,0,0,2022-04-10
2022,Australian Grand Prix,14,ALO,Alpine,10.0,10,17.0,0,0,0,0,2022-04-10
2022,Australian Grand Prix,1,VER,Red Bull Racing,2.0,2,18.0,0,0,0,0,2022-04-10
2022,Australian Grand Prix,5,VET,Aston Martin,17.0,18,19.0,0,0,0,0,2022-04-10
2022,Australian Grand Prix,55,SAI,Ferrari,9.0,9,20.0,0,0,0,0,2022-04-10
2022,Emilia Romagna Grand Prix,1,VER,Red Bull Racing,1.0,1,1.0,1,1,1,1,2022-04-24
2022,Emilia Romagna Grand Prix,11,PER,Red Bull Racing,3.0,7,2.0,1,1,1,1,2022-04-24
2022,Emilia Romagna Grand Prix,4,NOR,McLaren,5.0,3,3.0,1,1,1,1,2022-04-24
2022,Emilia Romagna Grand Prix,63,RUS,Mercedes,11.0,11,4.0,1,0,1,1,2022-04-24
2022,Emilia Romagna Grand Prix,77,BOT,Alfa Romeo,7.0,8,5.0,1,0,1,1,2022-04-24
2022,Emilia Romagna Grand Prix,16,LEC,Ferrari,2.0,2,6.0,1,0,0,1,2022-04-24
2022,Emilia Romagna Grand Prix,22,TSU,AlphaTauri,12.0,16,7.0,1,0,0,1,2022-04-24
2022,Emilia Romagna Grand Prix,5,VET,Aston Martin,13.0,9,8.0,1,0,0,1,2022-04-24
2022,Emilia Romagna Grand Prix,20,MAG,Haas F1 Team,8.0,4,9.0,1,0,0,1,2022-04-24
2022,Emilia Romagna Grand Prix,18,STR,Aston Martin,15.0,15,10.0,0,0,0,1,2022-04-24
2022,Emilia Romagna Grand Prix,23,ALB,Williams,18.0,20,11.0,0,0,0,0,2022-04-24
2022,Emilia Romagna Grand Prix,10,GAS,AlphaTauri,17.0,17,12.0,0,0,0,0,2022-04-24
2022,Emilia Romagna Grand Prix,44,HAM,Mercedes,14.0,13,13.0,0,0,0,0,2022-04-24
2022,Emilia Romagna Grand Prix,31,OCO,Alpine,16.0,19,14.0,0,0,0,0,2022-04-24
