Year,EventName,DriverNumber,Abbreviation,TeamName,GridPos,QualiPos,FinishPos,DidFinish,Top3,Top5,Top10,EventDate
2024,Pre-Season Testing,4,NOR,McLaren,1.0,1.0,1,1,1,1,1,2024-02-23
2024,Pre-Season Testing,1,VER,Red Bull Racing,2.0,2.0,2,1,1,1,1,2024-02-23
2024,Pre-Season Testing,81,PIA,McLaren,5.0,5.0,3,1,1,1,1,2024-02-23
2024,Pre-Season Testing,63,RUS,Mercedes,4.0,4.0,4,1,0,1,1,2024-02-23
2024,Pre-Season Testing,16,LEC,Ferrari,9.0,9.0,5,1,0,1,1,2024-02-23
2024,Pre-Season Testing,44,HAM,Mercedes,3.0,3.0,6,1,0,0,1,2024-02-23
2024,Pre-Season Testing,55,SAI,Ferrari,10.0,10.0,7,1,0,0,1,2024-02-23
2024,Pre-Season Testing,14,ALO,Aston Martin,7.0,7.0,8,0,0,0,1,2024-02-23
2024,Pre-Season Testing,27,HUL,Haas F1 Team,6.0,6.0,9,0,0,0,1,2024-02-23
2024,Pre-Season Testing,11,PER,Red Bull Racing,13.0,13.0,10,0,0,0,1,2024-02-23
2024,Pre-Season Testing,43,COL,Williams,12.0,12.0,11,0,0,0,0,2024-02-23
2024,Pre-Season Testing,22,TSU,RB,8.0,8.0,12,0,0,0,0,2024-02-23
2024,Pre-Season Testing,31,OCO,Alpine,15.0,15.0,13,0,0,0,0,2024-02-23
2024,Pre-Season Testing,18,STR,Aston Martin,17.0,17.0,14,0,0,0,0,2024-02-23
2024,Pre-Season Testing,24,ZHO,Kick Sauber,20.0,20.0,15,0,0,0,0,2024-02-23
2024,Pre-Season Testing,77,BOT,Kick Sauber,19.0,19.0,16,0,0,0,0,2024-02-23
2024,Pre-Season Testing,10,GAS,Alpine,18.0,18.0,17,0,0,0,0,2024-02-23
2024,Pre-Season Testing,3,RIC,RB,16.0,16.0,18,0,0,0,0,2024-02-23
2024,Pre-Season Testing,20,MAG,Haas F1 Team,14.0,14.0,19,0,0,0,0,2024-02-23
2024,Pre-Season Testing,23,ALB,Williams,11.0,11.0,20,0,0,0,0,2024-02-23
2024,Bahrain Grand Prix,1,VER,Red Bull Racing,1.0,1.0,1,1,1,1,1,2024-03-02
2024,Bahrain Grand Prix,11,PER,Red Bull Racing,5.0,5.0,2,1,1,1,1,2024-03-02
2024,Bahrain Grand Prix,55,SAI,Ferrari,4.0,4.0,3,1,1,1,1,2024-03-02
2024,Bahrain Grand Prix,16,LEC,Ferrari,2.0,2.0,4,1,0,1,1,2024-03-02
2024,Bahrain Grand Prix,63,RUS,Mercedes,3.0,3.0,5,1,0,1,1,2024-03-02
2024,Bahrain Grand Prix,4,NOR,McLaren,7.0,7.0,6,1,0,0,1,2024-03-02
2024,Bahrain Grand Prix,44,HAM,Mercedes,9.0,9.0,7,1,0,0,1,2024-03-02
2024,Bahrain Grand Prix,81,PIA,McLaren,8.0,8.0,8,1,0,0,1,2024-03-02
2024,Bahrain Grand Prix,14,ALO,Aston Martin,6.0,6.0,9,1,0,0,1,2024-03-02
2024,Bahrain Grand Prix,18,STR,Aston Martin,12.0,12.0,10,1,0,0,1,2024-03-02
2024,Bahrain Grand Prix,24,ZHO,Kick Sauber,17.0,17.0,11,0,0,0,0,2024-03-02
2024,Bahrain Grand Prix,20,MAG,Haas F1 Team,15.0,15.0,12,0,0,0,0,2024-03-02
2024,Bahrain Grand Prix,3,RIC,RB,14.0,14.0,13,0,0,0,0,2024-03-02
2024,Bahrain Grand Prix,22,TSU,RB,11.0,11.0,14,0,0,0,0,2024-03-02
2024,Bahrain Grand Prix,23,ALB,Williams,13.0,13.0,15,0,0,0,0,2024-03-02
2024,Bahrain Grand Prix,27,HUL,Haas F1 Team,10.0,10.0,16,0,0,0,0,2024-03-02
2024,Bahrain Grand Prix,31,OCO,Alpine,19.0,19.0,17,0,0,0,0,2024-03-02
2024,Bahrain Grand Prix,10,GAS,Alpine,20.0,20.0,18,0,0,0,0,2024-03-02
2024,Bahrain Grand Prix,77,BOT,Kick Sauber,16.0,16.0,19,0,0,0,0,2024-03-02
2024,Bahrain Grand Prix,2,SAR,Williams,18.0,18.0,20,0,0,0,0,2024-03-02
2024,Saudi Arabian Grand Prix,1,VER,Red Bull Racing,1.0,1.0,1,1,1,1,1,2024-03-09
2024,Saudi Arabian Grand Prix,11,PER,Red Bull Racing,3.0,3.0,2,1,1,1,1,2024-03-09
2024,Saudi Arabian Grand Prix,16,LEC,Ferrari,2.0,2.0,3,1,1,1,1,2024-03-09
2024,Saudi Arabian Grand Prix,81,PIA,McLaren,5.0,5.0,4,1,0,1,1,2024-03-09
2024,Saudi Arabian Grand Prix,14,ALO,Aston Martin,4.0,4.0,5,1,0,1,1,2024-03-09
2024,Saudi Arabian Grand Prix,63,RUS,Mercedes,7.0,7.0,6,1,0,0,1,2024-03-09
2024,Saudi Arabian Grand Prix,38,BEA,Ferrari,11.0,11.0,7,1,0,0,1,2024-03-09
2024,Saudi Arabian Grand Prix,4,NOR,McLaren,6.0,6.0,8,1,0,0,1,2024-03-09
2024,Saudi Arabian Grand Prix,44,HAM,Mercedes,8.0,8.0,9,1,0,0,1,2024-03-09
2024,Saudi Arabian Grand Prix,27,HUL,Haas F1 Team,15.0,15.0,10,1,0,0,1,2024-03-09
2024,Saudi Arabian Grand Prix,23,ALB,Williams,12.0,12.0,11,1,0,0,0,2024-03-09
2024,Saudi Arabian Grand Prix,20,MAG,Haas F1 Team,13.0,13.0,12,1,0,0,0,2024-03-09
2024,Saudi Arabian Grand Prix,31,OCO,Alpine,17.0,17.0,13,0,0,0,0,2024-03-09
2024,Saudi Arabian Grand Prix,2,SAR,Williams,19.0,19.0,14,0,0,0,0,2024-03-09
2024,Saudi Arabian Grand Prix,22,TSU,RB,9.0,9.0,15,0,0,0,0,2024-03-09
2024,Saudi Arabian Grand Prix,3,RIC,RB,14.0,14.0,16,0,0,0,0,2024-03-09
2024,Saudi Arabian Grand Prix,77,BOT,Kick Sauber,16.0,16.0,17,0,0,0,0,2024-03-09
2024,Saudi Arabian Grand Prix,24,ZHO,Kick Sauber,20.0,20.0,18,0,0,0,0,2024-03-09
2024,Saudi Arabian Grand Prix,18,STR,Aston Martin,10.0,10.0,19,0,0,0,0,2024-03-09
2024,Saudi Arabian Grand Prix,10,GAS,Alpine,18.0,18.0,20,0,0,0,0,2024-03-09
2024,Australian Grand Prix,55,SAI,Ferrari,2.0,2.0,1,1,1,1,1,2024-03-24
2024,Australian Grand Prix,16,LEC,Ferrari,4.0,5.0,2,1,1,1,1,2024-03-24
2024,Australian Grand Prix,4,NOR,McLaren,3.0,4.0,3,1,1,1,1,2024-03-24
2024,Australian Grand Prix,81,PIA,McLaren,5.0,6.0,4,1,0,1,1,2024-03-24
2024,Australian Grand Prix,11,PER,Red Bull Racing,6.0,3.0,5,1,0,1,1,2024-03-24
2024,Australian Grand Prix,18,STR,Aston Martin,9.0,9.0,6,1,0,0,1,2024-03-24
2024,Australian Grand Prix,22,TSU,RB,8.0,8.0,7,1,0,0,1,2024-03-24
2024,Australian Grand Prix,14,ALO,Aston Martin,10.0,10.0,8,1,0,0,1,2024-03-24
2024,Australian Grand Prix,27,HUL,Haas F1 Team,16.0,16.0,9,1,0,0,1,2024-03-24
2024,Australian Grand Prix,20,MAG,Haas F1 Team,14.0,14.0,10,0,0,0,1,2024-03-24
2024,Australian Grand Prix,23,ALB,Williams,12.0,12.0,11,0,0,0,0,2024-03-24
2024,Australian Grand Prix,3,RIC,RB,18.0,18.0,12,0,0,0,0,2024-03-24
2024,Australian Grand Prix,10,GAS,Alpine,17.0,17.0,13,0,0,0,0,2024-03-24
2024,Australian Grand Prix,77,BOT,Kick Sauber,13.0,13.0,14,0,0,0,0,2024-03-24
2024,Australian Grand Prix,24,ZHO,Kick Sauber,19.0,19.0,15,0,0,0,0,2024-03-24
2024,Australian Grand Prix,31,OCO,Alpine,15.0,15.0,16,0,0,0,0,2024-03-24
2024,Australian Grand Prix,63,RUS,Mercedes,7.0,7.0,17,0,0,0,0,2024-03-24
2024,Australian Grand Prix,44,HAM,Mercedes,11.0,11.0,18,0,0,0,0,2024-03-24
2024,Australian Grand Prix,1,VER,Red Bull Racing,1.0,1.0,19,0,0,0,0,2024-03-24
2024,Japanese Grand Prix,1,VER,Red Bull Racing,1.0,1.0,1,1,1,1,1,2024-04-07
2024,Japanese Grand Prix,11,PER,Red Bull Racing,2.0,2.0,2,1,1,1,1,2024-04-07
2024,Japanese Grand Prix,55,SAI,Ferrari,4.0,4.0,3,1,1,1,1,2024-04-07
2024,Japanese Grand Prix,16,LEC,Ferrari,8.0,8.0,4,1,0,1,1,2024-04-07
2024,Japanese Grand Prix,4,NOR,McLaren,3.0,3.0,5,1,0,1,1,2024-04-07
2024,Japanese Grand Prix,14,ALO,Aston Martin,5.0,5.0,6,1,0,0,1,2024-04-07
2024,Japanese Grand Prix,63,RUS,Mercedes,9.0,9.0,7,1,0,0,1,2024-04-07
2024,Japanese Grand Prix,81,PIA,McLaren,6.0,6.0,8,1,0,0,1,2024-04-07
2024,Japanese Grand Prix,44,HAM,Mercedes,7.0,7.0,9,1,0,0,1,2024-04-07
2024,Japanese Grand Prix,22,TSU,RB,10.0,10.0,10,0,0,0,1,2024-04-07
2024,Japanese Grand Prix,27,HUL,Haas F1 Team,12.0,12.0,11,0,0,0,0,2024-04-07
2024,Japanese Grand Prix,18,STR,Aston Martin,16.0,16.0,12,0,0,0,0,2024-04-07
2024,Japanese Grand Prix,20,MAG,Haas F1 Team,18.0,18.0,13,0,0,0,0,2024-04-07
2024,Japanese Grand Prix,77,BOT,Kick Sauber,13.0,13.0,14,0,0,0,0,2024-04-07
2024,Japanese Grand Prix,31,OCO,Alpine,15.0,15.0,15,0,0,0,0,2024-04-07
