Year,EventName,DriverNumber,Abbreviation,TeamName,GridPos,QualiPos,FinishPos,DidFinish,Top3,Top5,Top10,EventDate
2021,Pre-Season Test,33,VER,Red Bull Racing,1.0,1.0,1.0,1,1,1,1,2021-03-14
2021,Pre-Season Test,44,HAM,Mercedes,2.0,2.0,2.0,1,1,1,1,2021-03-14
2021,Pre-Season Test,11,PER,Red Bull Racing,3.0,3.0,3.0,1,1,1,1,2021-03-14
2021,Pre-Season Test,16,LEC,Ferrari,4.0,5.0,4.0,1,0,1,1,2021-03-14
2021,Pre-Season Test,3,RIC,McLaren,6.0,7.0,5.0,1,0,1,1,2021-03-14
2021,Pre-Season Test,77,BOT,Mercedes,9.0,4.0,6.0,1,0,0,1,2021-03-14
2021,Pre-Season Test,55,SAI,Ferrari,5.0,6.0,7.0,1,0,0,1,2021-03-14
2021,Pre-Season Test,4,NOR,McLaren,7.0,8.0,8.0,1,0,0,1,2021-03-14
2021,Pre-Season Test,22,TSU,AlphaTauri,10.0,10.0,9.0,0,0,0,1,2021-03-14
2021,Pre-Season Test,5,VET,Aston Martin,18.0,12.0,10.0,0,0,0,1,2021-03-14
2021,Pre-Season Test,99,GIO,Alfa Romeo Racing,12.0,13.0,11.0,0,0,0,0,2021-03-14
2021,Pre-Season Test,18,STR,Aston Martin,13.0,16.0,12.0,0,0,0,0,2021-03-14
2021,Pre-Season Test,7,RAI,Alfa Romeo Racing,15.0,18.0,13.0,0,0,0,0,2021-03-14
2021,Pre-Season Test,63,RUS,Williams,20.0,15.0,14.0,0,0,0,0,2021-03-14
2021,Pre-Season Test,6,LAT,Williams,14.0,17.0,15.0,0,0,0,0,2021-03-14
2021,Pre-Season Test,47,MSC,Haas F1 Team,16.0,19.0,16.0,0,0,0,0,2021-03-14
2021,Pre-Season Test,9,MAZ,Haas F1 Team,17.0,20.0,17.0,0,0,0,0,2021-03-14
2021,Pre-Season Test,14,ALO,Alpine,19.0,14.0,18.0,0,0,0,0,2021-03-14
2021,Pre-Season Test,31,OCO,Alpine,11.0,11.0,19.0,0,0,0,0,2021-03-14
2021,Pre-Season Test,10,GAS,AlphaTauri,8.0,9.0,20.0,0,0,0,0,2021-03-14
2021,Bahrain Grand Prix,44,HAM,Mercedes,2.0,2.0,1.0,1,1,1,1,2021-03-28
2021,Bahrain Grand Prix,33,VER,Red Bull Racing,1.0,1.0,2.0,1,1,1,1,2021-03-28
2021,Bahrain Grand Prix,77,BOT,Mercedes,3.0,3.0,3.0,1,1,1,1,2021-03-28
2021,Bahrain Grand Prix,4,NOR,McLaren,7.0,7.0,4.0,1,0,1,1,2021-03-28
2021,Bahrain Grand Prix,11,PER,Red Bull Racing,0.0,11.0,5.0,1,0,1,1,2021-03-28
2021,Bahrain Grand Prix,16,LEC,Ferrari,4.0,4.0,6.0,1,0,0,1,2021-03-28
2021,Bahrain Grand Prix,3,RIC,McLaren,6.0,6.0,7.0,1,0,0,1,2021-03-28
2021,Bahrain Grand Prix,55,SAI,Ferrari,8.0,8.0,8.0,1,0,0,1,2021-03-28
2021,Bahrain Grand Prix,22,TSU,AlphaTauri,13.0,13.0,9.0,1,0,0,1,2021-03-28
2021,Bahrain Grand Prix,18,STR,Aston Martin,10.0,10.0,10.0,1,0,0,1,2021-03-28
2021,Bahrain Grand Prix,7,RAI,Alfa Romeo Racing,14.0,14.0,11.0,1,0,0,0,2021-03-28
2021,Bahrain Grand Prix,99,GIO,Alfa Romeo Racing,12.0,12.0,12.0,0,0,0,0,2021-03-28
2021,Bahrain Grand Prix,31,OCO,Alpine,16.0,16.0,13.0,0,0,0,0,2021-03-28
2021,Bahrain Grand Prix,63,RUS,Williams,15.0,15.0,14.0,0,0,0,0,2021-03-28
2021,Bahrain Grand Prix,5,VET,Aston Martin,20.0,18.0,15.0,0,0,0,0,2021-03-28
2021,Bahrain Grand Prix,47,MSC,Haas F1 Team,18.0,19.0,16.0,0,0,0,0,2021-03-28
2021,Bahrain Grand Prix,10,GAS,AlphaTauri,5.0,5.0,17.0,0,0,0,0,2021-03-28
2021,Bahrain Grand Prix,6,LAT,Williams,17.0,17.0,18.0,0,0,0,0,2021-03-28
2021,Bahrain Grand Prix,14,ALO,Alpine,9.0,9.0,19.0,0,0,0,0,2021-03-28
2021,Bahrain Grand Prix,9,MAZ,Haas F1 Team,19.0,20.0,20.0,0,0,0,0,2021-03-28
2021,Emilia Romagna Grand Prix,33,VER,Red Bull Racing,3.0,3.0,1.0,1,1,1,1,2021-04-18
2021,Emilia Romagna Grand Prix,44,HAM,Mercedes,1.0,1.0,2.0,1,1,1,1,2021-04-18
2021,Emilia Romagna Grand Prix,4,NOR,McLaren,7.0,7.0,3.0,1,1,1,1,2021-04-18
2021,Emilia Romagna Grand Prix,16,LEC,Ferrari,4.0,4.0,4.0,1,0,1,1,2021-04-18
2021,Emilia Romagna Grand Prix,55,SAI,Ferrari,11.0,11.0,5.0,1,0,1,1,2021-04-18
2021,Emilia Romagna Grand Prix,3,RIC,McLaren,6.0,6.0,6.0,1,0,0,1,2021-04-18
2021,Emilia Romagna Grand Prix,10,GAS,AlphaTauri,5.0,5.0,7.0,1,0,0,1,2021-04-18
