Year,EventName,DriverNumber,Abbreviation,TeamName,GridPos,QualiPos,FinishPos,DidFinish,Top3,Top5,Top10,EventDate
2018,Australian Grand Prix,5,VET,Ferrari,3.0,3.0,1,1,1,1,1,2018-03-25
2018,Australian Grand Prix,44,HAM,Mercedes,1.0,1.0,2,1,1,1,1,2018-03-25
2018,Australian Grand Prix,7,RAI,Ferrari,2.0,2.0,3,1,1,1,1,2018-03-25
2018,Australian Grand Prix,3,RIC,Red Bull Racing,8.0,5.0,4,1,0,1,1,2018-03-25
2018,Australian Grand Prix,14,ALO,McLaren,10.0,11.0,5,1,0,1,1,2018-03-25
2018,Australian Grand Prix,33,VER,Red Bull Racing,4.0,4.0,6,1,0,0,1,2018-03-25
2018,Australian Grand Prix,27,HUL,Renault,7.0,8.0,7,1,0,0,1,2018-03-25
2018,Australian Grand Prix,77,BOT,Mercedes,15.0,10.0,8,1,0,0,1,2018-03-25
2018,Australian Grand Prix,2,VAN,McLaren,11.0,12.0,9,1,0,0,1,2018-03-25
2018,Australian Grand Prix,55,SAI,Renault,9.0,9.0,10,1,0,0,1,2018-03-25
2018,Australian Grand Prix,11,PER,Force India,12.0,13.0,11,1,0,0,0,2018-03-25
2018,Australian Grand Prix,31,OCO,Force India,14.0,15.0,12,1,0,0,0,2018-03-25
2018,Australian Grand Prix,16,LEC,Sauber,18.0,18.0,13,1,0,0,0,2018-03-25
2018,Australian Grand Prix,18,STR,Williams,13.0,14.0,14,1,0,0,0,2018-03-25
2018,Australian Grand Prix,28,HAR,Toro Rosso,16.0,16.0,15,0,0,0,0,2018-03-25
2018,Australian Grand Prix,8,GRO,Haas F1 Team,6.0,7.0,16,0,0,0,0,2018-03-25
2018,Australian Grand Prix,20,MAG,Haas F1 Team,5.0,6.0,17,0,0,0,0,2018-03-25
2018,Australian Grand Prix,10,GAS,Toro Rosso,20.0,20.0,18,0,0,0,0,2018-03-25
2018,Australian Grand Prix,9,ERI,Sauber,17.0,17.0,19,0,0,0,0,2018-03-25
2018,Australian Grand Prix,35,SIR,Williams,19.0,19.0,20,0,0,0,0,2018-03-25
2018,Bahrain Grand Prix,5,VET,Ferrari,1.0,1.0,1,1,1,1,1,2018-04-08
2018,Bahrain Grand Prix,77,BOT,Mercedes,3.0,3.0,2,1,1,1,1,2018-04-08
2018,Bahrain Grand Prix,44,HAM,Mercedes,9.0,4.0,3,1,1,1,1,2018-04-08
2018,Bahrain Grand Prix,10,GAS,Toro Rosso,5.0,6.0,4,1,0,1,1,2018-04-08
2018,Bahrain Grand Prix,20,MAG,Haas F1 Team,6.0,7.0,5,1,0,1,1,2018-04-08
2018,Bahrain Grand Prix,27,HUL,Renault,7.0,8.0,6,1,0,0,1,2018-04-08
2018,Bahrain Grand Prix,14,ALO,McLaren,13.0,13.0,7,0,0,0,1,2018-04-08
2018,Bahrain Grand Prix,2,VAN,McLaren,14.0,14.0,8,0,0,0,1,2018-04-08
2018,Bahrain Grand Prix,9,ERI,Sauber,17.0,17.0,9,0,0,0,1,2018-04-08
2018,Bahrain Grand Prix,31,OCO,Force India,8.0,9.0,10,0,0,0,1,2018-04-08
2018,Bahrain Grand Prix,55,SAI,Renault,10.0,10.0,11,0,0,0,0,2018-04-08
2018,Bahrain Grand Prix,16,LEC,Sauber,19.0,19.0,12,0,0,0,0,2018-04-08
2018,Bahrain Grand Prix,8,GRO,Haas F1 Team,16.0,16.0,13,0,0,0,0,2018-04-08
2018,Bahrain Grand Prix,18,STR,Williams,20.0,20.0,14,0,0,0,0,2018-04-08
2018,Bahrain Grand Prix,35,SIR,Williams,18.0,18.0,15,0,0,0,0,2018-04-08
2018,Bahrain Grand Prix,11,PER,Force India,12.0,12.0,16,0,0,0,0,2018-04-08
2018,Bahrain Grand Prix,28,HAR,Toro Rosso,11.0,11.0,17,0,0,0,0,2018-04-08
2018,Bahrain Grand Prix,7,RAI,Ferrari,2.0,2.0,18,0,0,0,0,2018-04-08
2018,Bahrain Grand Prix,33,VER,Red Bull Racing,15.0,15.0,19,0,0,0,0,2018-04-08
2018,Bahrain Grand Prix,3,RIC,Red Bull Racing,4.0,5.0,20,0,0,0,0,2018-04-08
2018,Chinese Grand Prix,3,RIC,Red Bull Racing,6.0,6.0,1,1,1,1,1,2018-04-15
2018,Chinese Grand Prix,77,BOT,Mercedes,3.0,3.0,2,1,1,1,1,2018-04-15
2018,Chinese Grand Prix,7,RAI,Ferrari,2.0,2.0,3,1,1,1,1,2018-04-15
2018,Chinese Grand Prix,44,HAM,Mercedes,4.0,4.0,4,1,0,1,1,2018-04-15
2018,Chinese Grand Prix,33,VER,Red Bull Racing,5.0,5.0,5,1,0,1,1,2018-04-15
2018,Chinese Grand Prix,27,HUL,Renault,7.0,7.0,6,1,0,0,1,2018-04-15
2018,Chinese Grand Prix,14,ALO,McLaren,13.0,13.0,7,1,0,0,1,2018-04-15
2018,Chinese Grand Prix,5,VET,Ferrari,1.0,1.0,8,1,0,0,1,2018-04-15
2018,Chinese Grand Prix,55,SAI,Renault,9.0,9.0,9,1,0,0,1,2018-04-15
2018,Chinese Grand Prix,20,MAG,Haas F1 Team,11.0,11.0,10,1,0,0,1,2018-04-15
2018,Chinese Grand Prix,31,OCO,Force India,12.0,12.0,11,1,0,0,0,2018-04-15
2018,Chinese Grand Prix,11,PER,Force India,8.0,8.0,12,1,0,0,0,2018-04-15
2018,Chinese Grand Prix,2,VAN,McLaren,14.0,14.0,13,1,0,0,0,2018-04-15
2018,Chinese Grand Prix,18,STR,Williams,18.0,18.0,14,1,0,0,0,2018-04-15
2018,Chinese Grand Prix,35,SIR,Williams,16.0,16.0,15,1,0,0,0,2018-04-15
2018,Chinese Grand Prix,9,ERI,Sauber,20.0,20.0,16,1,0,0,0,2018-04-15
2018,Chinese Grand Prix,8,GRO,Haas F1 Team,10.0,10.0,17,1,0,0,0,2018-04-15
2018,Chinese Grand Prix,10,GAS,Toro Rosso,17.0,17.0,18,1,0,0,0,2018-04-15
2018,Chinese Grand Prix,16,LEC,Sauber,19.0,19.0,19,1,0,0,0,2018-04-15
2018,Chinese Grand Prix,28,HAR,Toro Rosso,15.0,15.0,20,0,0,0,0,2018-04-15
2018,Azerbaijan Grand Prix,44,HAM,Mercedes,2.0,2.0,1,1,1,1,1,2018-04-29
2018,Azerbaijan Grand Prix,7,RAI,Ferrari,6.0,6.0,2,1,1,1,1,2018-04-29
2018,Azerbaijan Grand Prix,11,PER,Force India,8.0,8.0,3,1,1,1,1,2018-04-29
