Year,EventName,DriverNumber,Abbreviation,TeamName,GridPos,QualiPos,FinishPos,DidFinish,Top3,Top5,Top10,EventDate
2025,Pre-Season Testing,63,RUS,Mercedes,1.0,1.0,1,1,1,1,1,2025-02-28
2025,Pre-Season Testing,1,VER,Red Bull Racing,2.0,2.0,2,1,1,1,1,2025-02-28
2025,Pre-Season Testing,4,NOR,McLaren,5.0,5.0,3,1,1,1,1,2025-02-28
2025,Pre-Season Testing,81,PIA,McLaren,3.0,3.0,4,1,0,1,1,2025-02-28
2025,Pre-Season Testing,12,ANT,Mercedes,4.0,4.0,5,1,0,1,1,2025-02-28
2025,Pre-Season Testing,16,LEC,Ferrari,7.0,7.0,6,1,0,0,1,2025-02-28
2025,Pre-Season Testing,14,ALO,Aston Martin,10.0,10.0,7,1,0,0,1,2025-02-28
2025,Pre-Season Testing,44,HAM,Ferrari,6.0,6.0,8,1,0,0,1,2025-02-28
2025,Pre-Season Testing,87,BEA,Haas F1 Team,9.0,9.0,9,1,0,0,1,2025-02-28
2025,Pre-Season Testing,55,SAI,Williams,18.0,20.0,10,0,0,0,1,2025-02-28
2025,Pre-Season Testing,6,HAD,Racing Bulls,8.0,8.0,11,0,0,0,0,2025-02-28
2025,Pre-Season Testing,22,TSU,Red Bull Racing,13.0,13.0,12,0,0,0,0,2025-02-28
2025,Pre-Season Testing,18,STR,Aston Martin,15.0,15.0,13,0,0,0,0,2025-02-28
2025,Pre-Season Testing,23,ALB,Williams,20.0,19.0,14,0,0,0,0,2025-02-28
2025,Pre-Season Testing,30,LAW,Racing Bulls,12.0,12.0,15,0,0,0,0,2025-02-28
2025,Pre-Season Testing,43,COL,Alpine,16.0,16.0,16,0,0,0,0,2025-02-28
2025,Pre-Season Testing,5,BOR,Kick Sauber,14.0,14.0,17,0,0,0,0,2025-02-28
2025,Pre-Season Testing,31,OCO,Haas F1 Team,17.0,17.0,18,0,0,0,0,2025-02-28
2025,Pre-Season Testing,10,GAS,Alpine,19.0,18.0,19,0,0,0,0,2025-02-28
2025,Pre-Season Testing,27,HUL,Kick Sauber,11.0,11.0,20,0,0,0,0,2025-02-28
2025,Australian Grand Prix,4,NOR,McLaren,1.0,1.0,1,1,1,1,1,2025-03-16
2025,Australian Grand Prix,1,VER,Red Bull Racing,3.0,3.0,2,1,1,1,1,2025-03-16
2025,Australian Grand Prix,63,RUS,Mercedes,4.0,4.0,3,1,1,1,1,2025-03-16
2025,Australian Grand Prix,12,ANT,Mercedes,16.0,16.0,4,1,0,1,1,2025-03-16
2025,Australian Grand Prix,23,ALB,Williams,6.0,6.0,5,1,0,1,1,2025-03-16
2025,Australian Grand Prix,18,STR,Aston Martin,13.0,13.0,6,1,0,0,1,2025-03-16
2025,Australian Grand Prix,27,HUL,Kick Sauber,17.0,17.0,7,1,0,0,1,2025-03-16
2025,Australian Grand Prix,16,LEC,Ferrari,7.0,7.0,8,1,0,0,1,2025-03-16
2025,Australian Grand Prix,81,PIA,McLaren,2.0,2.0,9,1,0,0,1,2025-03-16
2025,Australian Grand Prix,44,HAM,Ferrari,8.0,8.0,10,1,0,0,1,2025-03-16
2025,Australian Grand Prix,10,GAS,Alpine,9.0,9.0,11,1,0,0,0,2025-03-16
2025,Australian Grand Prix,22,TSU,Racing Bulls,5.0,5.0,12,1,0,0,0,2025-03-16
2025,Australian Grand Prix,31,OCO,Haas F1 Team,19.0,19.0,13,1,0,0,0,2025-03-16
2025,Australian Grand Prix,87,BEA,Haas F1 Team,20.0,20.0,14,1,0,0,0,2025-03-16
2025,Australian Grand Prix,30,LAW,Red Bull Racing,18.0,18.0,15,0,0,0,0,2025-03-16
