race_id,season,location,driver_id,driver_code,team,resultposition,gridposition,avg_lap,median_lap,std_lap,best_lap,pit_count,avg_pit_loss,tyre_mix,avg_stint_length,nolaps,tracklength
2,2014,KualaLumpur,16,PER,ForceIndia,22,14,,,,,0,0.0,1,1.0,56,5543.0
2,2014,KualaLumpur,17,CHI,Marussia,15,21,111.80816666666664,110.27199999999999,5.475561805413728,108.249,3,27.559,2,13.75,56,5543.0
2,2014,KualaLumpur,18,BIA,Marussia,20,19,128.70399999999998,112.131,30.077119447941055,111.473,1,52.836,1,9.0,56,5543.0
2,2014,KualaLumpur,19,ERI,Caterham,14,22,111.80575925925925,110.34899999999999,5.604393498686561,107.5,3,27.528333333333336,2,13.75,56,5543.0
2,2014,KualaLumpur,20,GUT,Sauber,17,12,111.36962857142856,109.924,5.4721008229752774,107.782,2,27.872500000000002,2,12.0,56,5543.0
2,2014,KualaLumpur,21,MAL,LotusF1,21,16,115.51528571428571,112.005,6.945567668527545,110.929,0,0.0,1,8.0,56,5543.0
2,2014,KualaLumpur,22,GRO,LotusF1,11,15,110.13701818181818,108.601,4.857016061141017,106.224,3,25.459,2,14.0,56,5543.0
3,2014,Sakhir,1,HAM,Mercedes,1,2,104.96040350877192,100.341,14.544790201133443,97.108,2,24.9165,2,19.333333333333332,57,5412.0
3,2014,Sakhir,2,RIC,RedBull,4,13,105.3900350877193,102.252,10.119267085905467,99.269,2,24.761,2,19.333333333333332,57,5412.0
3,2014,Sakhir,3,ROS,Mercedes,2,1,104.97943859649124,100.536,13.646056900408924,97.02,2,24.878999999999998,2,19.333333333333332,57,5412.0
3,2014,Sakhir,4,MAG,McLaren,18,8,103.87935,102.316,5.314098474088309,100.108,3,24.914,2,10.25,57,5412.0
3,2014,Sakhir,5,ALO,Ferrari,9,9,105.53224561403508,101.565,10.894835670891936,99.732,3,24.94633333333333,2,14.5,57,5412.0
3,2014,Sakhir,6,VER,ToroRosso,21,14,109.3786111111111,104.095,13.053474769031872,101.65,2,29.896,2,9.5,57,5412.0
3,2014,Sakhir,7,HUL,ForceIndia,5,11,105.4631052631579,101.86,10.9502257424288,98.785,2,24.5985,2,19.333333333333332,57,5412.0
3,2014,Sakhir,8,KVY,ToroRosso,11,12,105.68570175438595,102.381,8.869713234140649,100.16,3,25.583,2,14.5,57,5412.0
3,2014,Sakhir,9,MAS,Williams,7,7,105.50891228070175,101.384,10.27019544479611,99.272,3,24.999666666666666,2,14.5,57,5412.0
3,2014,Sakhir,10,BUT,McLaren,17,6,106.50696363636364,101.766,11.861061193176724,99.565,2,24.860500000000002,2,18.666666666666668,57,5412.0
3,2014,Sakhir,11,RAI,Ferrari,10,5,105.54745614035087,102.18,9.78211506137271,99.438,3,24.959,2,14.5,57,5412.0
3,2014,Sakhir,12,VET,RedBull,6,10,105.48459649122807,101.853,10.381246866103682,99.312,2,25.575,2,19.333333333333332,57,5412.0
3,2014,Sakhir,13,SUT,Sauber,22,22,116.07882352941179,105.388,32.79682237129706,101.791,2,33.019999999999996,2,6.0,57,5412.0
3,2014,Sakhir,14,KOB,Caterham,15,18,106.50250877192983,104.077,6.419930384921873,101.246,2,26.875999999999998,2,19.333333333333332,57,5412.0
3,2014,Sakhir,15,BOT,Williams,8,3,105.51963157894737,101.32,10.926823390876853,99.762,3,25.36266666666667,2,14.5,57,5412.0
3,2014,Sakhir,16,PER,ForceIndia,3,4,105.38263157894735,101.491,11.096305274137068,99.32,2,24.717,2,19.333333333333332,57,5412.0
3,2014,Sakhir,17,CHI,Marussia,13,21,106.01143859649123,103.786,7.250091795028588,101.825,3,26.357333333333333,2,14.5,57,5412.0
3,2014,Sakhir,18,BIA,Marussia,16,19,108.20651785714288,104.723,8.420400722468502,102.175,5,25.1446,2,11.4,57,5412.0
3,2014,Sakhir,19,ERI,Caterham,20,20,105.41957575757577,104.13,5.379698737094294,101.134,2,25.593,1,11.333333333333334,57,5412.0
3,2014,Sakhir,20,GUT,Sauber,19,15,104.07179487179488,102.893,4.7248079224645245,100.698,2,25.588,1,13.333333333333334,57,5412.0
3,2014,Sakhir,21,MAL,LotusF1,14,17,106.06221052631581,102.358,10.833112776075623,99.666,4,29.7395,2,19.333333333333332,57,5412.0
3,2014,Sakhir,22,GRO,LotusF1,12,16,105.71729824561405,102.104,8.658178352956469,99.443,3,25.305666666666667,2,14.5,57,5412.0
4,2014,Shanghai,1,HAM,Mercedes,1,1,103.8581111111111,102.943,4.049359379413958,101.196,2,23.4835,2,18.333333333333332,54,5451.0
4,2014,Shanghai,2,RIC,RedBull,4,2,104.36062962962963,103.6615,3.717880073051858,101.473,2,22.842,2,18.333333333333332,54,5451.0
4,2014,Shanghai,3,ROS,Mercedes,2,4,104.1925925925926,103.315,3.9130844732817143,100.402,2,23.183,2,18.333333333333332,54,5451.0
4,2014,Shanghai,4,MAG,McLaren,13,15,106.2102075471698,105.367,3.844005329773434,102.701,2,23.1245,2,18.0,54,5451.0
4,2014,Shanghai,5,ALO,Ferrari,3,5,104.29522222222222,103.5675,3.6135022663519694,102.081,2,22.8615,2,18.333333333333332,54,5451.0
