Model,Target,Accuracy,Precision,Recall,F1
Logistic Regression,Top-3,0.8162839248434238,0.4473684210526316,0.9444444444444444,0.6071428571428571
Logistic Regression,Top-5,0.8434237995824635,0.6243093922651933,0.9416666666666667,0.7508305647840532
Logistic Regression,Top-10,0.8204592901878914,0.8181818181818182,0.825,0.8215767634854771
Random Forest,Top-3,0.8789144050104384,0.5673076923076923,0.8194444444444444,0.6704545454545454
Random Forest,Top-5,0.8622129436325678,0.6588235294117647,0.9333333333333333,0.7724137931034483
Random Forest,Top-10,0.8350730688935282,0.8454935622317596,0.8208333333333333,0.8329809725158562
Gradient Boosting,Top-3,0.860125260960334,0.5423728813559322,0.4444444444444444,0.48854961832061067
Gradient Boosting,Top-5,0.8308977035490606,0.693069306930693,0.5833333333333334,0.6334841628959276
Gradient Boosting,Top-10,0.7286012526096033,0.775,0.6458333333333334,0.7045454545454546
