Model,Target,F1_mean,F1_std,HitRate_mean,HitRate_std,Num_Folds,F1 (mean ± std),Hit-Rate (mean ± std)
Gradient Boosting,Top-10,0.7237567833724561,0.019044560404833474,0.7361050724637681,0.008127498888665366,4,0.724 ± 0.019,0.736 ± 0.008
Gradient Boosting,Top-3,0.5755895481494447,0.06128836716446729,0.6097222222222222,0.05920860103240064,4,0.576 ± 0.061,0.610 ± 0.059
Gradient Boosting,Top-5,0.6472173874363364,0.05617816240989392,0.645144927536232,0.05160549868205823,4,0.647 ± 0.056,0.645 ± 0.052
Logistic Regression,Top-10,0.7865944743430968,0.0240211632118964,0.7866938405797101,0.025751251372408596,4,0.787 ± 0.024,0.787 ± 0.026
Logistic Regression,Top-3,0.6096106711173392,0.04204012155193519,0.6258454106280192,0.05869316708124649,4,0.610 ± 0.042,0.626 ± 0.059
Logistic Regression,Top-5,0.737984077670274,0.03767080514252549,0.7294746376811594,0.06042636484315386,4,0.738 ± 0.038,0.729 ± 0.060
Random Forest,Top-10,0.7925325955860111,0.028190553159527374,0.786394927536232,0.0358100626362387,4,0.793 ± 0.028,0.786 ± 0.036
Random Forest,Top-3,0.664260182305957,0.04466082371104609,0.6445954106280193,0.02973163653895603,4,0.664 ± 0.045,0.645 ± 0.030
Random Forest,Top-5,0.7394094457354998,0.03556312478248643,0.712536231884058,0.0597819206518743,4,0.739 ± 0.036,0.713 ± 0.060
